                                        8 Feb 2018 13:42:20
Satellite-CougSat:  Model Area


                            Time (UTCG)          Area (m^2)
                     ------------------------    ----------
                      6 Jun 2019 12:37:00.000      6.511604
                      6 Jun 2019 13:37:00.000      6.511604
                      6 Jun 2019 14:37:00.000      6.511604
                      6 Jun 2019 15:37:00.000      6.608792
                      6 Jun 2019 16:37:00.000      7.289109
                      6 Jun 2019 17:37:00.000      6.317228
                      6 Jun 2019 18:37:00.000      6.705980
                      6 Jun 2019 19:37:00.000      6.220039
                      6 Jun 2019 20:37:00.000      6.900356
                      6 Jun 2019 21:37:00.000      6.025663
                      6 Jun 2019 22:37:00.000      6.900356
                      6 Jun 2019 23:37:00.000      6.900356
                      7 Jun 2019 00:37:00.000      6.705980
                      7 Jun 2019 01:37:00.000      6.803168
                      7 Jun 2019 02:37:00.000      6.900356
                      7 Jun 2019 03:37:00.000      6.414416
                      7 Jun 2019 04:37:00.000      6.705980
                      7 Jun 2019 05:37:00.000      6.608792
                      7 Jun 2019 06:37:00.000      6.997544
                      7 Jun 2019 07:37:00.000      6.122851
                      7 Jun 2019 08:37:00.000      6.608792
                      7 Jun 2019 09:37:00.000      6.705980
                      7 Jun 2019 10:37:00.000      6.317228
                      7 Jun 2019 11:37:00.000      6.414416
                      7 Jun 2019 12:37:00.000      7.191921
                      7 Jun 2019 13:37:00.000      6.608792
                      7 Jun 2019 14:37:00.000      6.705980
                      7 Jun 2019 15:37:00.000      6.608792
                      7 Jun 2019 16:37:00.000      7.289109
                      7 Jun 2019 17:37:00.000      6.803168
                      7 Jun 2019 18:37:00.000      6.900356
                      7 Jun 2019 19:37:00.000      6.997544
                      7 Jun 2019 20:37:00.000      6.511604
                      7 Jun 2019 21:37:00.000      6.705980
                      7 Jun 2019 22:37:00.000      6.608792
                      7 Jun 2019 23:37:00.000      6.608792
                      8 Jun 2019 00:37:00.000      6.803168
                      8 Jun 2019 01:37:00.000      6.608792
                      8 Jun 2019 02:37:00.000      6.997544
                      8 Jun 2019 03:37:00.000      7.094732
                      8 Jun 2019 04:37:00.000      6.900356
                      8 Jun 2019 05:37:00.000      6.705980
                      8 Jun 2019 06:37:00.000      6.705980
                      8 Jun 2019 07:37:00.000      6.511604
                      8 Jun 2019 08:37:00.000      6.608792
                      8 Jun 2019 09:37:00.000      6.997544
                      8 Jun 2019 10:37:00.000      6.705980
                      8 Jun 2019 11:37:00.000      6.220039
                      8 Jun 2019 12:37:00.000      6.803168
                      8 Jun 2019 13:37:00.000      7.094732
                      8 Jun 2019 14:37:00.000      6.608792
                      8 Jun 2019 15:37:00.000      7.094732
                      8 Jun 2019 16:37:00.000      6.900356
                      8 Jun 2019 17:37:00.000      6.705980
                      8 Jun 2019 18:37:00.000      6.414416
                      8 Jun 2019 19:37:00.000      6.220039
                      8 Jun 2019 20:37:00.000      7.289109
                      8 Jun 2019 21:37:00.000      6.511604
                      8 Jun 2019 22:37:00.000      6.997544
                      8 Jun 2019 23:37:00.000      6.997544
                      9 Jun 2019 00:37:00.000      6.803168
                      9 Jun 2019 01:37:00.000      6.997544
                      9 Jun 2019 02:37:00.000      6.803168
                      9 Jun 2019 03:37:00.000      6.608792
                      9 Jun 2019 04:37:00.000      6.414416
                      9 Jun 2019 05:37:00.000      6.220039
                      9 Jun 2019 06:37:00.000      7.094732
                      9 Jun 2019 07:37:00.000      6.608792
                      9 Jun 2019 08:37:00.000      7.094732
                      9 Jun 2019 09:37:00.000      7.191921
                      9 Jun 2019 10:37:00.000      6.705980
                      9 Jun 2019 11:37:00.000      6.900356
                      9 Jun 2019 12:37:00.000      6.803168
                      9 Jun 2019 13:37:00.000      6.608792
                      9 Jun 2019 14:37:00.000      6.025663
                      9 Jun 2019 15:37:00.000      6.997544
                      9 Jun 2019 16:37:00.000      6.705980
                      9 Jun 2019 17:37:00.000      6.414416
                      9 Jun 2019 18:37:00.000      7.094732
                      9 Jun 2019 19:37:00.000      7.094732
                      9 Jun 2019 20:37:00.000      6.705980
                      9 Jun 2019 21:37:00.000      6.705980
                      9 Jun 2019 22:37:00.000      7.094732
                      9 Jun 2019 23:37:00.000      6.511604
                     10 Jun 2019 00:37:00.000      6.317228
                     10 Jun 2019 01:37:00.000      6.803168
                     10 Jun 2019 02:37:00.000      7.094732
                     10 Jun 2019 03:37:00.000      6.803168
                     10 Jun 2019 04:37:00.000      7.289109
                     10 Jun 2019 05:37:00.000      6.705980
                     10 Jun 2019 06:37:00.000      6.511604
                     10 Jun 2019 07:37:00.000      7.191921
                     10 Jun 2019 08:37:00.000      6.220039
                     10 Jun 2019 09:37:00.000      6.025663
                     10 Jun 2019 10:37:00.000      6.511604
                     10 Jun 2019 11:37:00.000      7.094732
                     10 Jun 2019 12:37:00.000      6.900356

Global Statistics
-----------------
Mean Area                                          6.586475
