"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
242,6 Jul 2019 12:58:20.782,6 Jul 2019 13:31:13.437,1972.654
243,6 Jul 2019 15:20:30.034,6 Jul 2019 15:52:52.820,1942.786
244,6 Jul 2019 17:42:29.422,6 Jul 2019 18:15:08.769,1959.346
245,6 Jul 2019 20:02:44.583,6 Jul 2019 20:34:10.654,1886.071
246,6 Jul 2019 22:23:33.435,6 Jul 2019 22:46:53.423,1399.988
247,7 Jul 2019 08:55:59.491,7 Jul 2019 09:19:03.952,1384.461
248,7 Jul 2019 11:08:33.503,7 Jul 2019 11:39:50.657,1877.154
249,7 Jul 2019 13:27:32.941,7 Jul 2019 14:00:15.863,1962.922
250,7 Jul 2019 15:49:56.910,7 Jul 2019 16:22:04.768,1927.858
251,7 Jul 2019 18:11:30.466,7 Jul 2019 18:44:17.661,1967.195
252,7 Jul 2019 20:31:34.411,7 Jul 2019 21:02:24.205,1849.794
253,7 Jul 2019 22:53:29.067,7 Jul 2019 23:12:38.537,1149.470
254,8 Jul 2019 09:21:49.455,8 Jul 2019 09:48:29.581,1600.126
255,8 Jul 2019 11:36:41.791,8 Jul 2019 12:08:45.760,1923.968
256,8 Jul 2019 13:56:45.411,8 Jul 2019 14:29:27.173,1961.762
257,8 Jul 2019 16:19:19.815,8 Jul 2019 16:51:25.979,1926.164
258,8 Jul 2019 18:40:26.035,8 Jul 2019 19:13:10.943,1964.908
259,8 Jul 2019 21:00:27.841,8 Jul 2019 21:29:39.901,1752.060
260,8 Jul 2019 23:24:55.022,8 Jul 2019 23:35:59.562,664.541
261,9 Jul 2019 07:44:31.721,9 Jul 2019 07:51:59.371,447.650
262,9 Jul 2019 09:48:44.480,9 Jul 2019 10:17:27.858,1723.378
263,9 Jul 2019 12:05:07.292,9 Jul 2019 12:37:33.202,1945.910
264,9 Jul 2019 14:26:11.725,9 Jul 2019 14:58:43.270,1951.545
265,9 Jul 2019 16:48:37.382,9 Jul 2019 17:21:07.759,1950.378
266,9 Jul 2019 19:09:17.608,9 Jul 2019 19:41:25.454,1927.846
267,9 Jul 2019 21:29:29.011,9 Jul 2019 21:56:37.740,1628.728
268,10 Jul 2019 08:06:31.414,10 Jul 2019 08:24:08.954,1057.540
269,10 Jul 2019 10:16:20.498,10 Jul 2019 10:46:22.199,1801.701
270,10 Jul 2019 12:33:41.848,10 Jul 2019 13:06:29.892,1968.045
271,10 Jul 2019 14:55:41.227,10 Jul 2019 15:28:05.709,1944.482
272,10 Jul 2019 17:17:47.478,10 Jul 2019 17:50:25.198,1957.720
273,10 Jul 2019 19:38:07.000,10 Jul 2019 20:09:37.865,1890.865
274,10 Jul 2019 21:58:44.658,10 Jul 2019 22:22:57.421,1452.763
275,11 Jul 2019 08:32:07.871,11 Jul 2019 08:54:14.074,1326.203
276,11 Jul 2019 10:44:10.974,11 Jul 2019 11:15:12.504,1861.530
277,11 Jul 2019 13:02:53.290,11 Jul 2019 13:35:33.814,1960.524
278,11 Jul 2019 15:25:09.417,11 Jul 2019 15:57:23.081,1933.664
279,11 Jul 2019 17:46:50.210,11 Jul 2019 18:19:35.590,1965.380
280,11 Jul 2019 20:06:56.389,11 Jul 2019 20:37:59.233,1862.844
281,11 Jul 2019 22:28:28.201,11 Jul 2019 22:49:01.209,1233.008
282,12 Jul 2019 08:57:59.928,12 Jul 2019 09:23:43.126,1543.198
283,12 Jul 2019 11:12:16.436,12 Jul 2019 11:44:06.810,1910.374
284,12 Jul 2019 13:32:02.917,12 Jul 2019 14:04:45.032,1962.115
285,12 Jul 2019 15:54:33.457,12 Jul 2019 16:26:41.750,1928.293
286,12 Jul 2019 18:15:47.135,12 Jul 2019 18:48:34.088,1966.952
287,12 Jul 2019 20:35:48.497,12 Jul 2019 21:05:33.435,1784.938
288,12 Jul 2019 22:59:17.252,12 Jul 2019 23:13:07.674,830.422
289,13 Jul 2019 09:24:34.132,13 Jul 2019 09:52:49.022,1694.891
290,13 Jul 2019 11:40:27.698,13 Jul 2019 12:12:56.227,1948.529
291,13 Jul 2019 14:01:23.710,13 Jul 2019 14:33:56.604,1952.894
292,13 Jul 2019 16:23:52.659,13 Jul 2019 16:56:16.450,1943.791
293,13 Jul 2019 18:44:39.628,13 Jul 2019 19:16:57.631,1938.003
294,13 Jul 2019 21:04:47.045,13 Jul 2019 21:32:30.291,1663.246
295,14 Jul 2019 07:43:17.819,14 Jul 2019 07:59:08.190,950.371
296,14 Jul 2019 09:52:05.031,14 Jul 2019 10:21:43.285,1778.254
297,14 Jul 2019 12:09:05.671,14 Jul 2019 12:41:49.485,1963.814
298,14 Jul 2019 14:30:52.443,14 Jul 2019 15:03:18.607,1946.163
299,14 Jul 2019 16:53:05.039,14 Jul 2019 17:25:41.012,1955.973
300,14 Jul 2019 19:13:29.414,14 Jul 2019 19:45:10.593,1901.179
301,14 Jul 2019 21:33:57.839,14 Jul 2019 21:59:06.243,1508.404
302,15 Jul 2019 08:08:15.264,15 Jul 2019 08:29:26.148,1270.885
303,15 Jul 2019 10:19:45.701,15 Jul 2019 10:50:35.007,1849.306
304,15 Jul 2019 12:38:09.409,15 Jul 2019 13:10:52.816,1963.407
305,15 Jul 2019 15:00:21.655,15 Jul 2019 15:32:35.463,1933.807
306,15 Jul 2019 17:22:09.522,15 Jul 2019 17:54:52.525,1963.003
307,15 Jul 2019 19:42:18.563,15 Jul 2019 20:13:31.526,1872.963
308,15 Jul 2019 22:03:31.711,15 Jul 2019 22:25:13.255,1301.544
309,16 Jul 2019 08:34:15.066,16 Jul 2019 08:58:54.404,1479.339
310,16 Jul 2019 10:47:51.064,16 Jul 2019 11:19:27.166,1896.102
311,16 Jul 2019 13:07:16.254,16 Jul 2019 13:40:00.891,1964.637
312,16 Jul 2019 15:29:46.719,16 Jul 2019 16:01:55.032,1928.313
313,16 Jul 2019 17:51:07.906,16 Jul 2019 18:23:55.992,1968.086
314,16 Jul 2019 20:11:09.617,16 Jul 2019 20:41:18.250,1808.633
315,16 Jul 2019 22:33:56.271,16 Jul 2019 22:50:21.820,985.548
316,17 Jul 2019 09:00:21.053,17 Jul 2019 09:28:09.872,1668.819
317,17 Jul 2019 11:15:58.567,17 Jul 2019 11:48:20.961,1942.394
318,17 Jul 2019 13:36:35.613,17 Jul 2019 14:09:13.717,1958.104
319,17 Jul 2019 15:59:07.463,17 Jul 2019 16:31:25.368,1937.905
320,17 Jul 2019 18:20:01.446,17 Jul 2019 18:52:31.993,1950.547
321,17 Jul 2019 20:40:05.958,17 Jul 2019 21:08:21.099,1695.142
322,18 Jul 2019 07:20:22.994,18 Jul 2019 07:33:47.737,804.744
323,18 Jul 2019 09:27:48.028,18 Jul 2019 09:57:03.785,1755.757
324,18 Jul 2019 11:44:30.098,18 Jul 2019 12:17:10.467,1960.368
325,18 Jul 2019 14:06:03.815,18 Jul 2019 14:38:31.849,1948.034
326,18 Jul 2019 16:28:22.020,18 Jul 2019 17:00:56.111,1954.091
327,18 Jul 2019 18:48:51.779,18 Jul 2019 19:20:42.743,1910.964
328,18 Jul 2019 21:09:12.649,18 Jul 2019 21:35:05.465,1552.816
329,19 Jul 2019 07:44:20.503,19 Jul 2019 08:04:29.152,1208.649
330,19 Jul 2019 09:55:21.403,19 Jul 2019 10:25:57.226,1835.823
331,19 Jul 2019 12:13:23.282,19 Jul 2019 12:46:12.015,1968.733
332,19 Jul 2019 14:35:33.516,19 Jul 2019 15:07:53.574,1940.058
333,19 Jul 2019 16:57:28.381,19 Jul 2019 17:30:09.045,1960.664
334,19 Jul 2019 19:17:40.878,19 Jul 2019 19:49:01.870,1880.992
335,19 Jul 2019 21:38:38.636,19 Jul 2019 22:01:20.957,1362.321
336,20 Jul 2019 08:10:24.899,20 Jul 2019 08:34:08.683,1423.784
337,20 Jul 2019 10:23:21.015,20 Jul 2019 10:54:47.894,1886.880
338,20 Jul 2019 12:42:35.259,20 Jul 2019 13:15:14.273,1959.014
339,20 Jul 2019 15:04:59.738,20 Jul 2019 15:37:08.120,1928.382
